Adventurous,n.,"Full of hazard; attended with risk; exposing to danger; requiring courage; rash; -- applied to acts; as, an adventurous undertaking, deed, song."
Advertent,a.,Attentive; heedful; regardful.
Advisory,a.,"Having power to advise; containing advice; as, an advisory council; their opinion is merely advisory."
Adz,v. t.,To cut with an adz.
Aerate,v. t.,To expose to the chemical action of air; to oxygenate (the blood) by respiration; to arterialize.
Aerolith,n.,Same as A/rolite.
Aeruginous,a.,"Of the nature or color of verdigris, or the rust of copper."
Aethiops mineral,,Same as Ethiops mineral.
Affect,v. t.,To aim at; to aspire; to covet.
Affectional,a.,"Of or pertaining to the affections; as, affectional impulses; an affectional nature."
Affiliated,imp. & p. p.,of Affiliate
Affirmant,n.,One who affirms or asserts.
Afflict,v. t.,"To inflict some great injury or hurt upon, causing continued pain or mental distress; to trouble grievously; to torment."
Affordable,a.,That may be afforded.
Affrightful,a.,Terrifying; frightful.
Afield,adv.,Out of the way; astray.
Afraid,p. a.,Impressed with fear or apprehension; in fear; apprehensive.
Afterclap,n.,An unexpected subsequent event; something disagreeable happening after an affair is supposed to be at an end.
Aftmost,a.,Nearest the stern.
Agamically,adv.,In an agamic manner.
Age,n.,"One of the stages of life; as, the age of infancy, of youth, etc."
Agent,n.,"One who acts for, or in the place of, another, by authority from him; one intrusted with the business of another; a substitute; a deputy; a factor."
Agglutinative,a.,"Pertaining to agglutination; tending to unite, or having power to cause adhesion; adhesive."
Aggregate,v. t.,"To bring together; to collect into a mass or sum. ""The aggregated soil."""
Aggroupment,n.,Arrangement in a group or in groups; grouping.
Agitation,n.,"The act of agitating, or the state of being agitated; the state of being moved with violence, or with irregular action; commotion; as, the sea after a storm is in agitation."
Agnomen,n.,"An additional or fourth name given by the Romans, on account of some remarkable exploit or event; as, Publius Caius Scipio Africanus."
Agonize,v. i.,To writhe with agony; to suffer violent anguish.
Agreed,imp. & p. p.,of Agree
Agricultor,n.,An agriculturist; a farmer.
Agrypnotic,n.,"Anything which prevents sleep, or produces wakefulness, as strong tea or coffee."
Ahungered,a.,Pinched with hunger; very hungry.
Aiguille,n.,"An instrument for boring holes, used in blasting."
Air,n.,Air in motion; a light breeze; a gentle wind.
Airer,n.,A frame on which clothes are aired or dried.
Airy,a.,"Open to a free current of air; exposed to the air; breezy; as, an airy situation."
Al-,A prefix.,"All; wholly; completely; as, almighty, almost."
Alantin,n.,See Inulin.
Albanian,n.,A native of Albania.
Album,n.,"A white tablet on which anything was inscribed, as a list of names, etc."
Alcaid,n.,Alt. of Alcayde
Alcohol,n.,"A class of compounds analogous to vinic alcohol in constitution. Chemically speaking, they are hydroxides of certain organic radicals; as, the radical ethyl forms common or ethyl alcohol (C2H5.OH); methyl forms methyl alcohol (CH3.OH) or wood spirit; amyl forms amyl alcohol (C5H11.OH) or fusel oil, etc."
Alcyones,n. pl.,The kingfishers.
Aleatory,a.,"Depending on some uncertain contingency; as, an aleatory contract."
Ale silver,,A duty payable to the lord mayor of London by the sellers of ale within the city.
Alexiteric,n.,"A preservative against contagious and infectious diseases, and the effects of poison in general."
Algerine,a.,Of or pertaining to Algiers or Algeria.
Alible,a.,Nutritive; nourishing.
Aliferous,a.,"Having wings, winged; aligerous."
Aline,v. t.,To range or place in a line; to bring into line; to align.
Alkali,n.,"Soda ash; caustic soda, caustic potash, etc."
Alkoranic,a.,Same as Alcoranic.
Allect,v. t.,To allure; to entice.
Allegories,pl. ,of Allegory
Alley,n.,"Any passage having the entrance represented as wider than the exit, so as to give the appearance of length."
Allied,a.,United; joined; leagued; akin; related. See Ally.
Allochroous,a.,Changing color.
